name,number,Population,Population Change % (2011-2016),Population density per sq km,Land area sq km,Children % (0-14 years),Seniors % (65+ years),Average household size,Renter %,University Education %,Average Income,Annual Resident Turnover %,Car Commute %,Visible Minority %,English/French Bilingual %
Agincourt North,129,29113,-3.9,3929,7.41,13.2,20.8,3.16,18.9,23.2,30414,9.9,68.4,91.5,4.3
Agincourt South-Malvern West,128,23757,8,3034,7.83,12.9,17.3,2.88,27.6,28.3,31825,13.2,66.9,85.9,4.5
Alderwood,20,12054,1.3,2435,4.95,14.6,16.7,2.6,20.5,22.3,47709,8.1,73.5,20.7,7.4
Annex,95,30526,4.6,10863,2.81,7.7,19.4,1.8,62,63.1,112766,22.5,24,25.4,20.1
Banbury-Don Mills,42,27695,2.9,2775,9.98,13,25.2,2.23,39.1,46.4,67757,11.4,67.1,47,10.5
Bathurst Manor,34,15873,2.8,3377,4.7,14.6,18.5,2.56,46,37.5,45936,12.7,56.7,34.8,6.7
Bay Street Corridor,76,25797,33.3,14097,1.83,6.6,9.4,1.7,67.9,63,56526,34.9,16.5,62.2,12
Bayview Village,52,21396,21.1,4195,5.1,11.3,16.9,2.22,41.2,52.3,52035,19.8,57.6,68.6,8.4
Bayview Woods-Steeles,49,13154,-2.8,3240,4.06,11.5,28,2.7,42.2,45.9,47246,12,63.6,65.2,8.3
Bedford Park-Nortown,39,23236,0.2,4209,5.52,19.6,17.1,2.68,30.2,51.9,123077,10.7,66.1,21,11.7
Beechborough-Greenbrook,112,6577,1.4,3614,1.82,17,14.7,2.4,66.2,11.6,33829,9.9,53.1,59,4.3
Bendale,127,29960,7.5,4011,7.47,15.2,17.5,2.7,35,25.6,33256,13.3,57,72.4,4.5
Birchcliffe-Cliffside,122,22291,2,3765,5.92,15,17.5,2.36,33.2,28.2,54360,9.9,61.1,26.5,8.7
Black Creek,24,21737,-1.5,6282,3.46,21.2,13.2,2.94,66.7,9.2,25989,10.7,60.4,80.8,3.2
Blake-Jones,69,7727,-0.5,8134,0.95,18.2,11.6,2.46,45.9,38.8,48511,11.9,35.2,38.5,13.1
Briar Hill-Belgravia,108,14257,-0.3,7791,1.83,13,14.7,2.48,50.6,27.6,34768,10.6,44,45.8,6.6
Bridle Path-Sunnybrook-York Mills,41,9266,6.3,1040,8.91,15.5,19.3,2.83,9.1,61.9,308010,11.6,73.9,30.1,19.1
Broadview North,57,11499,-0.6,6764,1.7,12.8,16.2,2,68.1,35.5,44557,13.8,38.9,27.7,10.8
Brookhaven-Amesbury,30,17757,-0.2,5045,3.52,18.9,12,2.73,59.6,13.4,32483,9.2,53.2,65.7,4.3
