,lat,lon,names
0,43.5999006259,-79.5537019356,Etobicoke Creek
1,43.599872137,-79.5536238402,Etobicoke Creek
2,43.5998558759,-79.5535565565,Etobicoke Creek
3,43.5998485016,-79.5534841652,Etobicoke Creek
4,43.5998477892,-79.5534291204,Etobicoke Creek
5,43.5998500521,-79.5533638844,Etobicoke Creek
6,43.5998604469,-79.5533098775,Etobicoke Creek
7,43.5998797546,-79.5532334347,Etobicoke Creek
8,43.5999480291,-79.5529847802,Etobicoke Creek
9,43.5999807176,-79.5529365646,Etobicoke Creek
10,,,
11,43.6001498557,-79.5544864287,Etobicoke Creek
12,43.6000418976,-79.5541153024,Etobicoke Creek
13,43.5999805055,-79.5539297269,Etobicoke Creek
14,43.5999006259,-79.5537019356,Etobicoke Creek
15,,,
16,43.5904035369,-79.5483431678,Etobicoke Creek
17,43.590337251,-79.5482560041,Etobicoke Creek
18,43.5903138887,-79.5482216812,Etobicoke Creek
19,43.590286645,-79.5481702154,Etobicoke Creek
20,43.590267972,-79.5481155367,Etobicoke Creek
21,,,
22,43.5905345956,-79.5484765645,Etobicoke Creek
23,43.5904035369,-79.5483431678,Etobicoke Creek
24,,,
25,43.6001498557,-79.5544864287,Etobicoke Creek
26,43.6000820588,-79.5545200085,Etobicoke Creek
27,43.6000494549,-79.5545403668,Etobicoke Creek
28,43.6000227936,-79.554538299,Etobicoke Creek
29,43.5999842811,-79.5545097264,Etobicoke Creek
30,43.599932449,-79.5544566791,Etobicoke Creek
31,43.599832628,-79.5543516659,Etobicoke Creek
32,,,
33,43.5866816206,-79.5438616575,Waterfront
34,43.5865685282,-79.5439970627,Waterfront
35,43.5865386558,-79.5440347981,Waterfront
36,43.5865160429,-79.5440614308,Waterfront
37,43.5864918208,-79.5440825144,Waterfront
38,43.5864546761,-79.5441180154,Waterfront
39,43.5864288226,-79.5441446456,Waterfront
40,43.5864094403,-79.5441735096,Waterfront
41,43.5863585653,-79.5442400951,Waterfront
42,43.5863391731,-79.5442711756,Waterfront
43,43.5863181885,-79.5443000383,Waterfront
44,43.5862600429,-79.544359956,Waterfront
45,43.5861752493,-79.5444520631,Waterfront
46,43.5861526354,-79.5444809121,Waterfront
47,43.5861332526,-79.544510878,Waterfront
48,43.5861089904,-79.5445424129,Waterfront
49,,,
50,43.5950345053,-79.5486397225,Etobicoke Creek
51,43.594962134,-79.5485966505,Etobicoke Creek
52,43.5948646859,-79.5485504745,Etobicoke Creek
53,43.5947169872,-79.5484938054,Etobicoke Creek
54,43.594634758,-79.5484748892,Etobicoke Creek
55,43.5945707882,-79.5484664531,Etobicoke Creek
56,43.5945037859,-79.548455934,Etobicoke Creek
57,43.5944230708,-79.5484537761,Etobicoke Creek
58,43.5943469267,-79.5484558081,Etobicoke Creek
59,43.5942509687,-79.5484829658,Etobicoke Creek
60,43.5941260765,-79.5485185096,Etobicoke Creek
61,43.5940118348,-79.5485498384,Etobicoke Creek
62,43.59397071,-79.5485644816,Etobicoke Creek
63,43.5938732334,-79.5485853585,Etobicoke Creek
64,43.5937955528,-79.5486020528,Etobicoke Creek
65,43.5937407304,-79.5486103933,Etobicoke Creek
66,43.5937369228,-79.5486103902,Etobicoke Creek
67,43.5936958015,-79.5486166363,Etobicoke Creek
68,43.5936379312,-79.5486165897,Etobicoke Creek
69,43.5935724519,-79.5486018733,Etobicoke Creek
70,43.593398823,-79.5486017459,Etobicoke Creek
71,43.593360755,-79.548603796,Etobicoke Creek
72,43.5933181089,-79.54861845,Etobicoke Creek
73,43.5932602296,-79.5486393462,Etobicoke Creek
74,43.593197775,-79.5486665424,Etobicoke Creek
75,43.5931063763,-79.5487251355,Etobicoke Creek
76,43.5929357695,-79.548836052,Etobicoke Creek
77,43.5928108673,-79.54891556,Etobicoke Creek
78,43.5926874828,-79.5490034658,Etobicoke Creek
79,43.5925915085,-79.5490683331,Etobicoke Creek
80,43.5925351531,-79.5491039181,Etobicoke Creek
81,43.5924894627,-79.5491227304,Etobicoke Creek
82,43.5923835966,-79.5491854963,Etobicoke Creek
83,43.5923485638,-79.5492043296,Etobicoke Creek
84,43.5923165745,-79.5492210599,Etobicoke Creek
85,43.5922784938,-79.5492315063,Etobicoke Creek
86,43.5922419515,-79.5492440468,Etobicoke Creek
87,43.5922008302,-79.5492503047,Etobicoke Creek
88,43.5921734109,-79.5492523753,Etobicoke Creek
89,43.5921520964,-79.549250265,Etobicoke Creek
90,43.5921201169,-79.5492439475,Etobicoke Creek
91,43.5920729097,-79.5492313263,Etobicoke Creek
92,43.5920013437,-79.5492207906,Etobicoke Creek
93,43.5916739772,-79.5491199494,Etobicoke Creek
94,43.5916237284,-79.5491052453,Etobicoke Creek
95,43.5915643485,-79.5490779511,Etobicoke Creek
96,43.5914699476,-79.5490422567,Etobicoke Creek
97,43.5913359492,-79.5489855883,Etobicoke Creek
98,43.5912324208,-79.5489289324,Etobicoke Creek
99,43.5911973943,-79.5489121479,Etobicoke Creek
100,43.5910481425,-79.5488458697,Etobicoke Creek
101,43.5908863426,-79.5487797304,Etobicoke Creek
102,43.5908016814,-79.5487434131,Etobicoke Creek
103,43.590746181,-79.5487161848,Etobicoke Creek
104,43.5907076101,-79.5486941592,Etobicoke Creek
105,43.5906869246,-79.548673436,Etobicoke Creek
106,43.5906596634,-79.5486423542,Etobicoke Creek
107,43.5906305008,-79.5486164352,Etobicoke Creek
108,43.5905872487,-79.5485529681,Etobicoke Creek
109,43.5905345956,-79.5484765645,Etobicoke Creek
110,,,
111,43.629693949,-79.566338026,Elmcrest Creek
112,43.6296188759,-79.5664644191,Elmcrest Creek
113,43.6295913699,-79.5665225829,Elmcrest Creek
114,43.6295575183,-79.5665952758,Elmcrest Creek
115,43.6295215412,-79.5666854269,Elmcrest Creek
116,43.629496126,-79.5667697653,Elmcrest Creek
117,43.6294770551,-79.5668570228,Elmcrest Creek
118,43.6294643335,-79.5669384754,Elmcrest Creek
119,43.6294558334,-79.5670199326,Elmcrest Creek
120,43.6294536669,-79.5671072088,Elmcrest Creek
121,43.6294536122,-79.5672003117,Elmcrest Creek
122,43.629459915,-79.5672585003,Elmcrest Creek
123,43.6294662284,-79.5673137892,Elmcrest Creek
124,43.629474655,-79.5673574441,Elmcrest Creek
125,43.6294830782,-79.567406911,Elmcrest Creek
126,43.6294915064,-79.5674476414,Elmcrest Creek
127,43.6295020535,-79.5674825745,Elmcrest Creek
128,43.6295231591,-79.5675175072,Elmcrest Creek
129,43.629548513,-79.567537896,Elmcrest Creek
130,43.629571746,-79.5675524706,Elmcrest Creek
131,43.6296097824,-79.5675583375,Elmcrest Creek
132,43.6296393734,-79.5675525339,Elmcrest Creek
133,43.629668964,-79.5675322065,Elmcrest Creek
134,43.6296964534,-79.5675031402,Elmcrest Creek
135,43.6297218417,-79.5674653473,Elmcrest Creek
136,43.6297493551,-79.5673955598,Elmcrest Creek
137,43.6297789936,-79.5672937653,Elmcrest Creek
138,43.6298155984,-79.5671473908,Elmcrest Creek
139,,,
140,43.6296878,-79.5651028543,Elmcrest Creek
141,43.6296312662,-79.5651275531,Elmcrest Creek
142,43.629608013,-79.5651479009,Elmcrest Creek
143,43.6295847325,-79.5652002331,Elmcrest Creek
144,43.6295508453,-79.5653369575,Elmcrest Creek
145,43.6294809315,-79.5656510998,Elmcrest Creek
146,43.6294449149,-79.5658110692,Elmcrest Creek
147,43.6294300697,-79.5658925197,Elmcrest Creek
148,43.6294215805,-79.5659565163,Elmcrest Creek
149,43.6294173253,-79.5660147056,Elmcrest Creek
150,43.6294236286,-79.5660728941,Elmcrest Creek
151,43.6294405063,-79.5661194578,Elmcrest Creek
152,43.629472184,-79.5661631381,Elmcrest Creek
153,43.6295228725,-79.5662068268,Elmcrest Creek
154,43.6295693478,-79.5662359749,Elmcrest Creek
155,43.6296221551,-79.5662738541,Elmcrest Creek
156,43.6296580611,-79.5663059029,Elmcrest Creek
157,43.629693949,-79.566338026,Elmcrest Creek
158,,,
159,43.6038266087,-79.5573773269,Etobicoke Creek
160,43.6038197416,-79.5574111988,Etobicoke Creek
161,43.6038143284,-79.5574537801,Etobicoke Creek
162,43.603808926,-79.5574926453,Etobicoke Creek
163,43.6038062212,-79.5575370749,Etobicoke Creek
164,43.6038062016,-79.5575759576,Etobicoke Creek
165,43.6038061811,-79.557616686,Etobicoke Creek
166,43.6038061681,-79.5576425995,Etobicoke Creek
167,43.6038101858,-79.5576722206,Etobicoke Creek
168,43.6038142044,-79.5576999961,Etobicoke Creek
169,43.6038249495,-79.5577407348,Etobicoke Creek
170,43.6038464439,-79.5577962986,Etobicoke Creek
171,43.6038625737,-79.5578333387,Etobicoke Creek
172,43.6038840746,-79.5578759335,Etobicoke Creek
173,43.6039082697,-79.5579129938,Etobicoke Creek
